date,ticker,open,high,low,close,volume
2018-01-02,DJI,24809.349609375,24864.189453125,24741.69921875,24824.009765625,341130000
2018-01-03,DJI,24850.44921875,24941.919921875,24825.55078125,24922.6796875,456790000
2018-01-04,DJI,24964.859375,25105.9609375,24963.26953125,25075.130859375,403280000
2018-01-05,DJI,25114.919921875,25299.7890625,25112.009765625,25295.869140625,358020000
2018-01-08,DJI,25308.400390625,25311.990234375,25235.41015625,25283.0,341390000
2018-01-09,DJI,25312.05078125,25439.779296875,25308.41015625,25385.80078125,333490000
2018-01-10,DJI,25348.130859375,25404.919921875,25256.990234375,25369.130859375,341470000
2018-01-11,DJI,25398.599609375,25575.419921875,25396.189453125,25574.73046875,346830000
2018-01-12,DJI,25638.390625,25810.4296875,25633.080078125,25803.189453125,376390000
2018-01-16,DJI,25987.619140625,26086.119140625,25702.990234375,25792.859375,606520000
2018-01-17,DJI,25910.779296875,26130.44921875,25865.01953125,26115.650390625,522720000
2018-01-18,DJI,26149.55078125,26153.419921875,25947.3203125,26017.810546875,492780000
2018-01-19,DJI,25987.349609375,26071.720703125,25942.830078125,26071.720703125,585000000
2018-01-22,DJI,26025.3203125,26215.23046875,25974.650390625,26214.599609375,431200000
2018-01-23,DJI,26214.869140625,26246.189453125,26143.900390625,26210.810546875,433490000
2018-01-24,DJI,26282.0703125,26392.80078125,26106.939453125,26252.119140625,518790000
2018-01-25,DJI,26313.060546875,26458.25,26259.720703125,26392.7890625,401390000
2018-01-26,DJI,26466.740234375,26616.7109375,26425.349609375,26616.7109375,477780000
2018-01-29,DJI,26584.279296875,26608.900390625,26435.33984375,26439.48046875,421000000
2018-01-30,DJI,26198.44921875,26256.990234375,26028.419921875,26076.890625,448330000
2018-01-31,DJI,26268.169921875,26338.029296875,26050.98046875,26149.390625,479130000
2018-02-01,DJI,26083.0390625,26306.69921875,26014.439453125,26186.7109375,410620000
2018-02-02,DJI,26061.7890625,26061.7890625,25490.66015625,25520.9609375,522880000
2018-02-05,DJI,25337.869140625,25520.529296875,23923.880859375,24345.75,714450000
2018-02-06,DJI,24085.169921875,24946.23046875,23778.740234375,24912.76953125,823940000
2018-02-07,DJI,24892.869140625,25293.9609375,24785.439453125,24893.349609375,504620000
2018-02-08,DJI,24902.30078125,24903.6796875,23849.23046875,23860.4609375,657500000
2018-02-09,DJI,23992.669921875,24382.140625,23360.2890625,24190.900390625,735030000
2018-02-12,DJI,24337.759765625,24765.16015625,24290.48046875,24601.26953125,496610000
2018-02-13,DJI,24540.330078125,24705.720703125,24421.029296875,24640.44921875,374410000
